epoch,train_loss,train_acc,test_loss,test_acc
1,1.5171834135055542,0.365,1.4431097677775793,0.4
2,1.4394699430465698,0.40125,1.4091613803591048,0.4
3,1.3627492046356202,0.40125,1.3199683598109655,0.4
4,1.2056226968765258,0.45625,1.096339430127825,0.56
5,0.9105824732780456,0.62875,0.8885754431997027,0.635
6,0.7276760959625244,0.67875,0.7390497667448861,0.66
7,0.6396913266181946,0.69,0.7202406695910862,0.68
8,0.6196842515468597,0.71125,0.7030132327760968,0.685
9,0.575687507390976,0.71875,0.6367769411631993,0.705
10,0.512528065443039,0.75125,0.6144915734018598,0.71
